Wl31AAD;Valladolid;ANY;7.5;11682;658;0;15
WlH0AAL;A Coruña;ESCAPE;15.0;11024;742;0;17
WlPyAAL;Barcelona;CITY;3.5;12853;751;0;20
WqbCAAT;Jaén;ANY;15.0;8318;441;0,00355871886120996;15
WqflAAD;Madrid;BORDER;1.0;13779;1416;0,00173010380622837;22
WqfNAAT;Madrid;LEISURE;3.5;13779;1374;0,00198019801980198;21
WqZvAAL;La Rioja;VILLAGE;7.5;11191;245;0,0062111801242236;13
WseyAAD;Badajoz;VILLAGE;7.5;8448;373;0;14
WsK2AAL;A Coruña;VILLAGE;3.5;11024;1361;0;19
Wt1wAAD;Almería;CITY;7.5;8029;358;0;20
Wt23AAD;Navarra;VILLAGE;25.0;13572;953;0,00220264317180617;18
WTaNAAX;Almería;VILLAGE;7.5;8029;1154;0;17
WTecAAH;Madrid;BORDER;1.0;13779;335;0,00526315789473684;15
WTemAAH;Huelva;VACATIONAL;26.0;8401;837;0;16
WThUAAX;Cuenca;ESCAPE;3.5;9009;210;0;14
WtI0AAL;Navarra;CITY;3.5;13572;134;0;14
WTkaAAH;Ciudad Real;VILLAGE;15.0;8786;398;0;9
WTl1AAH;Ciudad Real;COUNTRYSIDE;7.5;8786;236;0,00617283950617284;16
WtmGAAT;Jaén;VILLAGE;35.0;8318;1;0;1
WTotAAH;Illes Balears;ANY;35.0;11213;2001;0;23
WtUoAAL;Illes Balears;VILLAGE;15.0;11213;595;0;25
WjkxAAD;Madrid;LEISURE;3.5;13779;378;0;15
WjphAAD;Madrid;ANY;3.5;13779;789;0;18
WjrNAAT;Barcelona;VILLAGE;7.5;12853;250;0;15
Wka3AAD;Córdoba;VILLAGE;15.0;8614;65;0;5
WkC4AAL;Badajoz;COUNTRYSIDE;25.0;8448;537;0;15
WkcIAAT;Illes Balears;VILLAGE;7.5;11213;939;0;13
WknQAAT;Navarra;VILLAGE;7.5;13572;185;0;10
WkntAAD;Cuenca;VILLAGE;15.0;9009;498;0,00315457413249211;19
WktIAAT;Valencia/València;ANY;7.5;10377;3468;0;23
Wl7UAAT;Jaén;ANY;7.5;8318;351;0;15
WlC1AAL;Navarra;ANY;3.5;13572;265;0;13
WlITAA1;Madrid;ANY;15.0;13779;771;0;25
WlPxAAL;Barcelona;VILLAGE;7.5;12853;1748;0,00462249614791988;24
WlQFAA1;Madrid;VILLAGE;7.5;13779;1162;0,00169491525423729;23
WlRFAA1;Salamanca;LEISURE;7.5;10667;779;0;16
Wqa2AAD;Madrid;BORDER;15.0;13779;1259;0,00853242320819113;19
WqadAAD;Madrid;LEISURE;1.0;13779;67;0;11
WqbBAAT;Jaén;ANY;3.5;8318;744;0;15
WqbJAAT;Jaén;ANY;26.0;8318;470;0;15
Wqc6AAD;Araba/Álava;ANY;7.5;14715;240;0;10
WqfPAAT;Huelva;ANY;3.5;8401;1030;0,00798403193612774;18
WqFrAAL;Araba/Álava;ANY;3.5;14715;274;0;16
WqNjAAL;Barcelona;BORDER;25.0;12853;755;0;16
WqZUAA1;Guadalajara;VILLAGE;26.0;11036;315;0;17
WsKoAAL;Cáceres;COUNTRYSIDE;3.5;9081;484;0;13
WskwAAD;Illes Balears;VILLAGE;7.5;11213;644;0,00236406619385343;19
WsQcAAL;Alicante/Alacant;CITY;7.5;8695;683;0;23
WsQWAA1;Barcelona;ANY;3.5;12853;737;0;17
WsREAA1;Ciudad Real;VILLAGE;15.0;8786;452;0;19
WsSKAA1;Córdoba;CITY;15.0;8614;262;0,00684931506849315;6
WsSsAAL;Cuenca;COUNTRYSIDE;1.0;9009;560;0;8
WsvAAAT;Almería;VILLAGE;3.5;8029;644;0;14
WsvDAAT;Asturias;ANY;15.0;11959;950;0;20
WsvfAAD;Almería;VILLAGE;3.5;8029;1416;0;18
WtBzAAL;Asturias;ANY;7.5;11959;256;0;16
WtdaAAD;Murcia;ANY;7.5;8908;90;0;5
WtDWAA1;Zaragoza;VILLAGE;15.0;12020;282;0;17
WTg7AAH;Madrid;BORDER;15.0;13779;552;0;17
WtOVAA1;Tarragona;VILLAGE;26.0;10817;1347;0;21
WTscAAH;Illes Balears;CITY;7.5;11213;243;0;17
WtycAAD;Asturias;ANY;3.5;11959;223;0;16
WtyyAAD;Cantabria;ANY;15.0;11229;681;0;13
WtznAAD;Toledo;ESCAPE;3.5;8845;55;0;5
Wu04AAD;Pontevedra;ESCAPE;25.0;10153;277;0,012987012987013;11
WU0LAAX;Salamanca;ANY;1.0;10667;157;0,0114942528735632;4
WU1rAAH;Cantabria;BORDER;15.0;11229;215;0;14
WqaXAAT;Lugo;ANY;7.5;10283;224;0;16
WqbjAAD;Alicante/Alacant;VILLAGE;7.5;8695;663;0;17
WqeAAAT;León;VILLAGE;3.5;11138;155;0;11
WqfxAAD;Huelva;ANY;15.0;8401;1015;0;22
WqHAAA1;Barcelona;VILLAGE;7.5;12853;399;0;19
WsL6AAL;A Coruña;ANY;7.5;11024;240;0;10
WsluAAD;Navarra;VILLAGE;35.0;13572;640;0;8
WsvCAAT;Murcia;ANY;7.5;8908;519;0;21
WswRAAT;Cantabria;VILLAGE;7.5;11229;391;0;15
WswSAAT;Cantabria;ANY;7.5;11229;883;0;14
Wt1cAAD;Palencia;ANY;15.0;11392;207;0;12
WtBYAA1;Pontevedra;VILLAGE;25.0;10153;823;0;14
Wtc8AAD;Segovia;VILLAGE;7.5;10730;903;0,00227790432801822;16
WtDAAA1;Sevilla;ANY;3.5;9051;1086;0;18
WTfbAAH;Alicante/Alacant;ANY;25.0;8695;1158;0;22
WThmAAH;Castellón/Castelló;BORDER;7.5;10136;1719;0;22
WTjGAAX;Cáceres;ANY;25.0;9081;775;0;21
WtKJAA1;Valladolid;ANY;7.5;11682;643;0;20
WtlfAAD;Pontevedra;CITY;7.5;10153;467;0;13
WTo7AAH;Cádiz;VILLAGE;1.0;8489;292;0;7
WToSAAX;Barcelona;BORDER;7.5;12853;730;0;19
WtsoAAD;Valencia/València;BORDER;7.5;10377;1061;0,00355871886120996;22
WtywAAD;Burgos;ANY;7.5;12093;104;0;12
WTZbAAP;Araba/Álava;BORDER;3.5;14715;303;0;5
WU4qAAH;Valencia/València;ANY;25.0;10377;1860;0;24
WU4XAAX;Pontevedra;ESCAPE;7.5;10153;170;0;13
WU7uAAH;Sevilla;CITY;7.5;9051;360;0,0050761421319797;13
WuahAAD;Madrid;CITY;3.5;13779;125;0;11
WjizAAD;Lugo;COUNTRYSIDE;1.0;10283;188;0;10
WjrBAAT;Castellón/Castelló;ANY;7.5;10136;568;0,0065359477124183;14
WjrHAAT;A Coruña;ANY;26.0;11024;1202;0;19
WjurAAD;Navarra;VILLAGE;15.0;13572;110;0;13
WjxUAAT;Córdoba;ANY;7.5;8614;2061;0;22
Wk8hAAD;Murcia;ANY;15.0;8908;1153;0;21
WkaoAAD;Barcelona;ANY;1.0;12853;970;0,00193798449612403;17
Wkj5AAD;Valencia/València;CITY;1.0;10377;732;0;20
WkMKAA1;Asturias;COUNTRYSIDE;7.5;11959;290;0,00432900432900433;16
WkncAAD;Tarragona;ANY;3.5;10817;1114;0;17
WkO5AAL;Cantabria;ANY;35.0;11229;481;0;16
Wkp4AAD;Badajoz;ANY;26.0;8448;840;0,00211416490486258;17
WkpAAAT;Pontevedra;CITY;3.5;10153;416;0;17
WkpoAAD;Pontevedra;ESCAPE;35.0;10153;469;0;19
WkpRAAT;Cádiz;ANY;7.5;8489;251;0;16
WkVbAAL;Tarragona;ANY;7.5;10817;299;0;22
Wl7tAAD;Pontevedra;VILLAGE;7.5;10153;203;0,00632911392405063;18
WlJOAA1;Barcelona;BORDER;1.0;12853;716;0,00546448087431694;23
